NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL,
,"Retail and food services sales, total","421,943","418,315","483,082","465,788","494,621","481,729","475,374","490,324","469,710","476,014","497,748","558,215","5,732,863",
,Retail sales and food services excl motor vehicle and parts,"336,756","328,901","376,796","368,476","388,989","379,136","373,146","385,526","369,739","378,618","402,994","458,090","4,547,167",
,Retail sales and food services excl gasoline stations,"386,019","384,105","443,979","426,328","453,329","441,236","435,163","448,690","428,033","434,050","457,507","518,272","5,256,711",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"300,832","294,691","337,693","329,016","347,697","338,643","332,935","343,892","328,062","336,654","362,753","418,147","4,071,015",
,"Retail sales, total","368,960","365,480","422,891","407,165","434,450","423,034","416,900","431,822","412,578","417,830","442,077","497,027","5,040,214",
,"Retail sales, total (excl. motor vehicle and parts dealers)","283,773","276,066","316,605","309,853","328,818","320,441","314,672","327,024","312,607","320,434","347,323","396,902","3,854,518",
,GAFO(1),"89,665","90,295","103,318","100,738","104,278","103,200","102,606","108,670","100,576","102,945","118,959","149,727","1,274,977",
441,Motor vehicle and parts dealers,"85,187","89,414","106,286","97,312","105,632","102,593","102,228","104,798","99,971","97,396","94,754","100,125","1,185,696",
"4411,4412",Automobile and other motor vehicle dealers,"78,171","82,482","97,923","89,632","97,493","94,441","94,321","96,524","92,143","89,438","86,977","92,708","1,092,253",
4411,Automobile dealers,"74,592","77,677","91,087","82,252","89,606","86,383","87,356","89,966","86,444","84,382","82,631","88,211","1,020,587",
44111,New car dealers,"65,936","67,908","79,946","72,863","79,723","76,450","77,677","80,177","77,024","75,083","73,878","79,822","906,487",
44112,Used car dealers,"8,656","9,769","11,141","9,389","9,883","9,933","9,679","9,789","9,420","9,299","8,753","8,389","114,100",
4413,"Automotive parts, acc., and tire stores","7,016","6,932","8,363","7,680","8,139","8,152","7,907","8,274","7,828","7,958","7,777","7,417","93,443",
"442,443","Furniture, home furn, electronics, and appliance stores","15,441","15,096","17,310","15,399","16,729","16,749","16,467","17,501","16,970","16,815","20,405","22,851","207,733",
442,Furniture and home furnishings stores,"8,407","8,377","9,815","8,726","9,574","9,522","9,396","10,033","9,676","9,647","10,702","11,434","115,309",
4421,Furniture stores,"4,646","4,757","5,476","4,749","5,140","5,084","5,104","5,229","5,189","5,050","5,464","5,400","61,288",
4422,Home furnishings stores,"3,761","3,620","4,339","3,977","4,434","4,438","4,292","4,804","4,487","4,597","5,238","6,034","54,021",
44221,Floor covering stores,"1,459","1,510",(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,
442299,All other home furnishings stores,"2,181","1,980","2,317","2,117","2,401","2,308","2,319","2,564","2,299","2,338","3,046","4,006","29,876",
443,Electronics and appliance stores,"7,034","6,719","7,495","6,673","7,155","7,227","7,071","7,468","7,294","7,168","9,703","11,417","92,424",
443141,Household appliance stores,"1,302","1,290","1,493","1,350","1,453","1,448","1,396","1,387","1,385","1,360","1,510","1,432","16,806",
443142,Electronics stores,"5,732","5,429","6,002","5,323","5,702","5,779","5,675","6,081","5,909","5,808","8,193","9,985","75,618",
444,Building mat. and garden equip. and supplies dealers,"22,389","22,494","29,230","31,259","35,632","33,437","30,060","30,304","28,978","29,672","29,182","26,728","349,365",
4441,Building mat. and supplies dealers,"20,256","19,963","25,217","25,962","29,761","28,839","26,497","27,031","26,017","26,536","25,953","23,439","305,471",
44412,Paint and wallpaper stores,747,772,978,935,"1,082","1,115","1,044","1,124","1,015","1,039",897,788,"11,536",
44413,Hardware stores,"1,781","1,696","2,127","2,208","2,441","2,392","2,194","2,248","2,161","2,264","2,153","2,226","25,891",
445,Food and beverage stores,"57,800","54,492","60,237","59,605","62,115","60,545","61,611","61,414","60,283","60,762","62,093","67,886","728,843",
4451,Grocery stores,"52,552","49,212","54,366","53,635","55,709","54,191","55,159","55,083","54,142","54,561","55,443","59,125","653,178",
44511,Supermarkets and other grocery (except convenience) stores,"50,497","47,201","52,090","51,267","53,223","51,771","52,679","52,628","51,676","52,095","53,089","56,756","624,972",
4453,"Beer, wine, and liquor stores","3,578","3,606","4,074","4,077","4,456","4,482","4,598","4,452","4,346","4,343","4,638","5,972","52,622",
446,Health and personal care stores,"25,715","24,718","27,499","25,819","27,376","26,848","25,966","27,609","26,551","27,761","27,402","30,602","323,866",
44611,Pharmacies and drug stores,"21,723","20,599","22,640","21,612","23,007","22,345","21,610","22,820","21,944","23,386","22,676","24,692","269,054",
447,Gasoline stations,"35,924","34,210","39,103","39,460","41,292","40,493","40,211","41,634","41,677","41,964","40,241","39,943","476,152",
448,Clothing and clothing access. stores,"15,907","18,020","21,332","21,143","21,945","20,618","20,795","22,775","19,909","20,469","24,560","33,923","261,396",
4481,Clothing stores,"11,843","12,703","15,785","15,683","16,005","15,397","15,368","16,356","14,713","15,361","18,393","23,501","191,108",
44811,Men's clothing stores,622,644,797,834,873,803,688,719,759,745,786,"1,026","9,296",
44812,Women's clothing stores,"2,373","2,668","3,364","3,496","3,487","3,220","3,083","3,173","3,007","3,179","3,638","4,524","39,212",
44814,Family clothing stores,"6,024","6,542","8,372","8,440","8,623","8,388","8,711","9,125","8,079","8,628","10,639","13,641","105,212",
44819,Other clothing stores,"1,502","1,444","1,579","1,376","1,479","1,494","1,385","1,576","1,362","1,297","1,513","1,815","17,822",
4482,Shoe stores,"2,143","2,674","3,233","3,076","2,918","2,765","2,976","3,925","2,754","2,646","3,078","4,144","36,332",
44831,Jewelry stores,"1,742","2,435","2,101","2,172","2,746","2,237","2,204","2,263","2,215","2,231","2,810","5,832","30,988",
451,"Sporting goods, hobby, musical instrument, and book stores","6,215","5,549","6,623","6,339","6,552","6,716","6,499","7,639","6,722","6,349","7,794","10,899","83,896",
45111,Sporting goods stores,"2,955","3,030","3,780","3,645","3,802","4,108","3,916","4,225","3,573","3,402","3,999","5,530","45,965",
45112,"Hobby, toy, and game stores","1,182","1,181","1,355","1,278","1,247","1,178","1,193","1,243","1,348","1,445","2,239","3,258","18,147",
451211,Book stores,"1,380",672,690,712,766,685,647,"1,370",976,654,663,"1,114","10,329",
452,General merchandise stores,"49,906","49,571","55,762","55,651","56,603","56,738","56,386","57,880","54,481","56,416","63,781","78,716","691,891",
4521,Department stores,"9,386","9,909","11,630","11,460","11,833","11,587","11,332","12,170","10,891","11,176","14,897","20,383","146,654",
452111,Department stores(excl. discount department stores),"2,847","3,266","3,768","3,789","3,983","3,665","3,516","3,608","3,557","3,586","4,907","7,943","48,435",
452112,Discount dept. stores,"6,539","6,643","7,862","7,671","7,850","7,922","7,816","8,562","7,334","7,590","9,990","12,440","98,219",
4529,Other general merchandise stores,"40,520",39662,44132,"44,191","44,770","45,151","45,054","45,710","43,590","45,240","48,884","58,333","545,237",
45291,Warehouse clubs and superstores,"35,225","34,246","37,986","38,044","38,470","38,860","38,973","39,541","37,601","39,009","42,138","50,087","470,180",
45299,All other gen. merchandise stores,"5,295","5,416","6,146","6,147","6,300","6,291","6,081","6,169","5,989","6,231","6,746","8,246","75,057",
453,Miscellaneous store retailers,"8,654","8,804","9,919","9,692","11,205","10,517","10,265","10,750","10,198","10,679","10,763","11,736","123,182",
4532,"Office supplies, stationery, and gift stores","2,196","2,059","2,291","2,206","2,449","2,379","2,459","2,875","2,494","2,896","2,419","3,338","30,061",
45321,Office supplies and stationery stores,"1,186",971,"1,058",920,961,897,926,"1,390","1,076",941,919,"1,016","12,261",
45322,"Gift, novelty, and souvenir stores","1,010","1,088","1,233","1,286","1,488","1,482","1,533","1,485","1,418","1,955","1,500","2,322","17,800",
45330,Used merchandise stores,"1,226","1,249","1,426","1,321","1,388","1,324","1,380","1,455","1,425","1,562","1,483","1,500","16,739",
454,Nonstore retailers,"45,822","43,112","49,590","45,486","49,369","47,780","46,412","49,518","46,838","49,547","61,102","73,618","608,194",
4541,Electronic shopping and mail-order houses,"38,057","35,954","41,820","39,274","42,753","41,570","40,756","43,216","40,559","42,667","53,288","64,725","524,639",
45431,Fuel dealers,"3,943","3,375","3,371","2,129","1,914","1,632","1,472","1,707","1,854","2,362","3,243","4,431","31,433",
722,Food services and drinking places,"52,983","52,835","60,191","58,623","60,171","58,695","58,474","58,502","57,132","58,184","55,671","61,188","692,649",
7224,Drinking places,"1,977","1,955","2,278","2,119","2,182","2,098","2,157","2,104","2,160","2,204","2,071","2,231","25,536",
7225,Restaurants and other eating places,"46,503","45,966","52,531","50,905","52,503","51,666","51,817","51,564","49,019","49,968","48,097","53,589","604,128",
722511,Full service restaurants,"23,690","23,611","26,690","25,741","26,175","25,482","25,360","25,120","23,977","24,361","23,783","27,777","301,767",
"722513, 722514, 722515",Limited service eating places,"22,813","22,355","25,841","25,164","26,328","26,184","26,457","26,444","25,042","25,607","24,314","25,812","302,361",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,